# Map Resource Utilization Report file generated by Lattice Diamond Version 3.13.0
#Generated on 08/22/26 18:03:58
#DESIGN = GitTest
#DEVICE = LCMXO2-4000HC
#PACKAGE = CSBGA132
#PERFORMANCEGRADE = 4

Hierarchy Node,LUT4,PFU Registers,IO Registers,EBR,Distributed RAM,Carry Cells,SLICE,
XT_Soc_Risc_V(XT_Soc_Risc_V),3223(7.62939e-05),1702(0),53(53),8(0),108(0),210(0),1947(-0.00984192),
    AF_GPIO_BUS_30s_3s_8s_1_16s_14s_32s_28s_Z91(u_AF_GPIO_BUS),159(159),170(170),0(0),0(0),0(0),0(0),102.33(102.33),
    DM_2_1s_1s_Z46(u_DM),210(208),148(144),0(0),0(0),0(0),0(0),96.45(94.42),
        OncePulse(u_OncePulse_dmcontrol_reset),1(1),2(2),0(0),0(0),0(0),0(0),0.7(0.7),
        SyncAsyncReset(u_SyncAsyncReset),1(1),2(2),0(0),0(0),0(0),0(0),1.33(1.33),
    External_INT_Ctrl_13s_16s_5s_Z87(u_External_INT_Ctrl),19(19),32(32),0(0),0(0),0(0),0(0),14.58(14.58),
    HarvardBootstrap_0_85_Z86(u_HarvardBootstrap),61(32),19(19),0(0),0(0),0(0),4(4),27.83(17.66),
        ROM_38s_8s_6s_Z85(u_ROM),29(29),0(0),0(0),0(0),0(0),0(0),10.17(10.17),
    HarvardSystemRAM_BUS_2048s_11s_Z77(u_HarvardSystemRAM),137.17(12.67),5(3),0(0),8(0),0(0),0(0),64.12(6.01),
        AlignedRAM_Adapter(u_AlignedRAM_Adapte),60(60),0(0),0(0),0(0),0(0),0(0),26.58(26.58),
        SystemRAM(u_SystemRAM),64.5(64.5),2(2),0(0),8(8),0(0),0(0),31.53(31.53),
    JtagDTM_7s_225_1_2_3_16_17_31_Z45(u_JtagDTM),108(101),254(162),0(0),0(0),0(0),0(0),95.92(70.25),
        CDC_MCP_Formulation_41s(u_CDC_MCP_Formulation),7(4),92(84),0(0),0(0),0(0),0(0),25.67(22.92),
            OncePulseRst_2s_3_3s_0_1(u_OncePulse_ack),1(1),3(3),0(0),0(0),0(0),0(0),1(1),
            OncePulseRst_2s_3_3s_0(u_OncePulse_en),0(0),3(3),0(0),0(0),0(0),0(0),0.75(0.75),
            StopAndWaitFSM_0(u_StopAndWaitFSM_receive),1(1),1(1),0(0),0(0),0(0),0(0),0.5(0.5),
            StopAndWaitFSM_4294967295s_0(u_StopAndWaitFSM_send),1(1),1(1),0(0),0(0),0(0),0(0),0.5(0.5),
    LEDSD_Direct_LBUS_0s_2s_Z102(u_LEDSD_Direct_BUS),20(6),12(12),0(0),0(0),0(0),0(0),8.58(4.91),
        LEDSD_Direct_0s_0_2s_4s(u_LEDSD_Direct),14(14),0(0),0(0),0(0),0(0),0(0),3.67(3.67),
    LED_LBUS_8s_Z101(u_LED_LBUS),0(0),8(8),0(0),0(0),0(0),0(0),2(2),
    RISC_V_Core_4294967295s_1s_0s_32s_Z75(u_RISC_V_Core),1586(0),607(0),0(0),0(0),96(0),132(0),981.77(3.05176e-05),
        trap_if_32s_30s_Z55(trap),3(3),0(0),0(0),0(0),0(0),0(0),1(1),
        CSR_Z66(u_CSR),297(297),203(203),0(0),0(0),0(0),33(33),154.67(154.67),
        CoreCtrl_1s_32s_2s_Z74(u_CoreCtrl),111(111),33(33),0(0),0(0),0(0),0(0),55.92(55.92),
        CoreReg_Z64(u_CoreReg),192(192),0(0),0(0),0(0),96(96),0(0),181.75(181.75),
        DebugCtrl_Z63(u_DebugCtrl),57(57),126(126),0(0),0(0),0(0),0(0),51.83(51.83),
        ExceptionCtrl_Z73(u_ExceptionCtrl),45.5(45.5),1(1),0(0),0(0),0(0),16(16),19.25(19.25),
        ExceptionPipeLine_Z72(u_ExceptionPipeLine),4.5(4.5),3(3),0(0),0(0),0(0),0(0),2.12(2.12),
        ID_EX_Z70(u_ID_EX),41(41),176(176),0(0),0(0),0(0),0(0),57.48(57.48),
        IF_ID_0_Z68(u_IF_ID),29(29),33(33),0(0),0(0),0(0),0(0),20.98(20.98),
        InstructionDecode_Z69(u_InstructionDecode),179(179),0(0),0(0),0(0),0(0),8(8),61.02(61.02),
        InstructionExecute_Z71(u_InstructionExecute),597(597),0(0),0(0),0(0),0(0),59(59),349.5(349.5),
        PC_Reg_0_Z65(u_PC_Reg),30(30),32(32),0(0),0(0),0(0),16(16),26.25(26.25),
    ROM_Reg_118s_32s_7s_Z76(u_ROM_Reg),317(317),30(30),0(0),0(0),0(0),0(0),158.25(158.25),
    ResetController_32250s_15s_32249s_Z35(u_ResetController),48(41),33(27),0(0),0(0),0(0),8(8),32.92(29.17),
        WISHBONE_MASTER_8s_Z34(u_WISHBONE_MASTER),7(7),6(6),0(0),0(0),0(0),0(0),3.75(3.75),
    ResetWishboneOverride_Z94(u_ResetWishboneOverride),19(19),0(0),0(0),0(0),0(0),0(0),9.17(9.17),
    SoftwareINT_16s_Z90(u_SoftwareINT),4(4),32(32),0(0),0(0),0(0),0(0),9.67(9.67),
    SystemTimer_Z88(u_SystemTimer),137(136),166(163),0(0),0(0),0(0),66(66),128.25(126.83),
        OncePulse_2s_3_3s_0(u_OncePulse),1(1),3(3),0(0),0(0),0(0),0(0),1.42(1.42),
    SystemPLL(u_SystmePLL),0(0),0(0),0(0),0(0),0(0),0(0),0(0),
    UART_BUS_8s_7s_2s_3s_5s_2s_3s_2s_Z89(u_UART),96(47),83(46),0(0),0(0),12(0),0(0),62.42(26.92),
        ClockDivider_8s(u_ClockDivider),3(3),3(3),0(0),0(0),0(0),0(0),3(3),
        FIFO_SC_8s_4s_4294967295s_0s_0s_4s_2s_1(u_rx_FIFO_SC),22(22),15(15),0(0),0(0),6(6),0(0),14.58(14.58),
        OncePulse_0(u_rx_OncePulse),0(0),2(2),0(0),0(0),0(0),0(0),0.5(0.5),
        FIFO_SC_8s_4s_4294967295s_0s_0s_4s_2s_1_0(u_tx_FIFO_SC),23(23),15(15),0(0),0(0),6(6),0(0),16.82(16.82),
        OncePulse_1s_1_2s_1(u_tx_OncePulse),1(1),2(2),0(0),0(0),0(0),0(0),0.6(0.6),
